IdINSPIRE,Id_carr1km,I_est_cr,Id_carr_n,Groupe,Depcom,I_pauv,Id_car2010,Ind,Men,Men_pauv,Men_1ind,Men_5ind,Men_prop,Men_fmp,Ind_snv,Men_surf,Men_coll,Men_mais,Log_av45,Log_45_70,Log_70_90,Log_ap90,Log_inc,Log_soc,Ind_0_3,Ind_4_5,Ind_6_10,Ind_11_17,Ind_18_24,Ind_25_39,Ind_40_54,Ind_55_64,Ind_65_79,Ind_80p,Ind_inc,I_est_1km,dummy_int,DIFPOP1517,RDIPOP1517,dummy_ext,17_LOL_IND,2017_Ind,2017_Ind_snv
CRS3035RES200mN3127200E3792800,CRS3035RES1000mN3127000E3792000,"1",CRS3035RES2000mN3126000E3792000,"1006810","59588","0",CRS3035RES200mN3127200E3792800,2.000000000000000,0.700000000000000,0.000000000000000,0.100000000000000,0.100000000000000,0.700000000000000,0.000000000000000,60399.400000000001455,89.700000000000003,0.000000000000000,0.700000000000000,0.000000000000000,0.100000000000000,0.200000000000000,0.400000000000000,0.000000000000000,0.000000000000000,0.100000000000000,0.000000000000000,0.000000000000000,0.200000000000000,0.000000000000000,0.200000000000000,0.500000000000000,0.500000000000000,0.300000000000000,0.100000000000000,0.100000000000000,"0","1",0.00000,0.00000,,29910.20000,2,59820.4
CRS3035RES200mN3127200E3796800,CRS3035RES1000mN3127000E3796000,"1",CRS3035RES2000mN3126000E3796000,"1006821","59605","0",CRS3035RES200mN3127200E3796800,8.000000000000000,2.800000000000000,0.200000000000000,0.600000000000000,0.200000000000000,2.400000000000000,0.200000000000000,161117.200000000011642,355.600000000000023,0.000000000000000,2.800000000000000,0.800000000000000,1.200000000000000,0.600000000000000,0.200000000000000,0.000000000000000,0.000000000000000,0.200000000000000,0.400000000000000,0.600000000000000,0.600000000000000,0.600000000000000,1.600000000000000,1.400000000000000,1.000000000000000,1.000000000000000,0.600000000000000,0.000000000000000,"0",,0.00000,0.00000,"1",23114.42500,8,184915.4
CRS3035RES200mN3129600E3786400,CRS3035RES1000mN3129000E3786000,"0",CRS3035RES8000mN3128000E3784000,"1007120","59183","0",CRS3035RES200mN3129600E3786400,148.000000000000000,70.000000000000000,16.000000000000000,31.000000000000000,5.000000000000000,9.000000000000000,13.000000000000000,2563287.500000000000000,4642.000000000000000,63.000000000000000,7.000000000000000,0.000000000000000,28.000000000000000,0.000000000000000,42.000000000000000,0.000000000000000,41.000000000000000,14.000000000000000,4.000000000000000,7.000000000000000,14.000000000000000,12.000000000000000,51.000000000000000,27.000000000000000,13.000000000000000,6.000000000000000,0.000000000000000,0.000000000000000,"0","1",3.00000,0.02027,,17064.67020,151,2576765.2
CRS3035RES200mN3127200E3792600,CRS3035RES1000mN3127000E3792000,"1",CRS3035RES2000mN3126000E3792000,"1006810","59588","0",CRS3035RES200mN3127200E3792600,4.000000000000000,1.400000000000000,0.000000000000000,0.100000000000000,0.100000000000000,1.300000000000000,0.000000000000000,120798.800000000002910,179.400000000000006,0.000000000000000,1.400000000000000,0.100000000000000,0.100000000000000,0.500000000000000,0.700000000000000,0.000000000000000,0.000000000000000,0.100000000000000,0.100000000000000,0.100000000000000,0.400000000000000,0.100000000000000,0.300000000000000,1.100000000000000,1.100000000000000,0.500000000000000,0.100000000000000,0.100000000000000,"0","1",0.00000,0.00000,,29910.20000,4,119640.8
CRS3035RES200mN3127200E3792400,CRS3035RES1000mN3127000E3792000,"1",CRS3035RES2000mN3126000E3792000,"1006810","59588","0",CRS3035RES200mN3127200E3792400,1.000000000000000,0.400000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.300000000000000,0.000000000000000,30199.700000000000728,44.799999999999997,0.000000000000000,0.400000000000000,0.000000000000000,0.100000000000000,0.100000000000000,0.200000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.100000000000000,0.000000000000000,0.100000000000000,0.300000000000000,0.300000000000000,0.100000000000000,0.000000000000000,0.100000000000000,"0","1",0.00000,0.00000,,29910.20000,1,29910.2
CRS3035RES200mN3127200E3791400,CRS3035RES1000mN3127000E3791000,"1",CRS3035RES2000mN3126000E3790000,"1006801","59588","0",CRS3035RES200mN3127200E3791400,12.000000000000000,4.200000000000000,0.300000000000000,0.900000000000000,0.900000000000000,3.500000000000000,0.300000000000000,293232.000000000000000,540.700000000000045,0.000000000000000,4.200000000000000,1.400000000000000,0.900000000000000,0.900000000000000,1.000000000000000,0.000000000000000,0.000000000000000,1.100000000000000,0.200000000000000,1.100000000000000,0.500000000000000,0.600000000000000,2.000000000000000,1.400000000000000,2.200000000000000,1.800000000000000,0.100000000000000,1.000000000000000,"0",,-2.00000,-0.16667,"1",25767.80000,10,257678
CRS3035RES200mN3127200E3791600,CRS3035RES1000mN3127000E3791000,"1",CRS3035RES2000mN3126000E3790000,"1006801","59588","0",CRS3035RES200mN3127200E3791600,16.000000000000000,5.600000000000000,0.500000000000000,1.200000000000000,1.200000000000000,4.700000000000000,0.500000000000000,390976.099999999976717,720.899999999999977,0.000000000000000,5.600000000000000,1.800000000000000,1.200000000000000,1.200000000000000,1.400000000000000,0.000000000000000,0.000000000000000,1.500000000000000,0.300000000000000,1.500000000000000,0.600000000000000,0.800000000000000,2.700000000000000,1.800000000000000,2.900000000000000,2.400000000000000,0.100000000000000,1.400000000000000,"0","1",0.00000,0.00000,,25767.80625,16,412284.9
CRS3035RES200mN3127200E3792000,CRS3035RES1000mN3127000E3792000,"1",CRS3035RES2000mN3126000E3792000,"1006810","59588","0",CRS3035RES200mN3127200E3792000,5.000000000000000,1.800000000000000,0.000000000000000,0.200000000000000,0.200000000000000,1.700000000000000,0.000000000000000,150998.499999999970896,224.199999999999989,0.000000000000000,1.800000000000000,0.100000000000000,0.200000000000000,0.600000000000000,0.900000000000000,0.000000000000000,0.000000000000000,0.200000000000000,0.100000000000000,0.100000000000000,0.500000000000000,0.100000000000000,0.400000000000000,1.300000000000000,1.300000000000000,0.700000000000000,0.100000000000000,0.200000000000000,"0","1",-2.00000,-0.40000,,29910.20000,3,89730.6
CRS3035RES200mN3127200E3791800,CRS3035RES1000mN3127000E3791000,"1",CRS3035RES2000mN3126000E3790000,"1006801","59588","0",CRS3035RES200mN3127200E3791800,4.000000000000000,1.400000000000000,0.100000000000000,0.300000000000000,0.300000000000000,1.200000000000000,0.100000000000000,97744.000000000000000,180.199999999999989,0.000000000000000,1.400000000000000,0.500000000000000,0.300000000000000,0.300000000000000,0.300000000000000,0.000000000000000,0.000000000000000,0.400000000000000,0.100000000000000,0.400000000000000,0.100000000000000,0.200000000000000,0.700000000000000,0.500000000000000,0.700000000000000,0.600000000000000,0.000000000000000,0.300000000000000,"0","1",-1.00000,-0.25000,,25767.80000,3,77303.4
CRS3035RES200mN3127200E3792200,CRS3035RES1000mN3127000E3792000,"1",CRS3035RES2000mN3126000E3792000,"1006810","59588","0",CRS3035RES200mN3127200E3792200,3.000000000000000,1.100000000000000,0.000000000000000,0.100000000000000,0.100000000000000,1.000000000000000,0.000000000000000,90599.100000000005821,134.500000000000000,0.000000000000000,1.100000000000000,0.100000000000000,0.100000000000000,0.400000000000000,0.500000000000000,0.000000000000000,0.000000000000000,0.100000000000000,0.100000000000000,0.000000000000000,0.300000000000000,0.100000000000000,0.200000000000000,0.800000000000000,0.800000000000000,0.400000000000000,0.100000000000000,0.100000000000000,"0","1",0.00000,0.00000,,29910.20000,3,89730.6
