ID,NOM,NOM_M,INSEE_COM,STATUT,POPULATION,INSEE_CAN,INSEE_ARR,INSEE_DEP,INSEE_REG,SIREN_EPCI,2008__ELT0,2008__DIST,2008__SERP,2013__ELT1,2013__DIST,2013__SERP,2018__ELT1,2018__DIST,2018__SERP,08_DIS_ELT,13_DIS_ELT,18_DIS_ELT,08_SER_ELT,13_SER_ELT,18_SER_ELT,AG0813_DIS,AG1318_DIS,AG0813_SER,AG1318_SER,17EFF47TOT,19EFF47TOT,17EFF56TOT,19EFF56TOT,DIF_EFF47,DIF_EFF56,AGR0813DIS,AGR1318DIS,AGR0813SER,AGR1318SER,RDIF_EFF47,RDIF_EFF56,FLORES2017_EFF_TOT,FLORES2017_EFF_47,FLORES2017_EFF_56,FLORES2019_EFF_TOT,FLORES2019_EFF_47,FLORES2019_EFF_56
COMMUNE_0000000009726994,Saint-Georges-sur-l'Aa,SAINT-GEORGES-SUR-L'AA,"59532",Commune simple,"309","20","4","59","32","245900428",61.000000000000000,0.000000000000000,12.000000000000000,46.000000000000000,0.000000000000000,4.000000000000000,41.000000000000000,0.000000000000000,5.000000000000000,0.00000,0.00000,0.00000,0.19672,0.08696,0.12195,0.000000,0.000000,-0.021952,0.006998,0.000000,0.00000,0.00000,0.00000,0.00000,0.00000,,,-0.111590,0.080474,,,"32","0","0","28","0","0"
COMMUNE_0000000009726987,Spycker,SPYCKER,"59576",Commune simple,"1806","12","4","59","32","245900428",392.000000000000000,19.000000000000000,41.000000000000000,410.000000000000000,7.000000000000000,41.000000000000000,460.000000000000000,15.000000000000000,38.000000000000000,0.04847,0.01707,0.03261,0.10459,0.10000,0.08261,-0.006280,0.003108,-0.000918,-0.003478,0.013928,0.02970,0.02507,0.01980,0.01577,-0.00527,-0.129565,0.182074,-0.008777,-0.034780,1.132252,-0.210211,"359","5","9","404","12","8"
COMMUNE_0000000009727230,Outreau,OUTREAU,"62643",Commune simple,"13378","36","3","62","32","246200729",4677.000000000000000,501.000000000000000,448.000000000000000,4236.000000000000000,544.000000000000000,476.000000000000000,3899.000000000000000,560.000000000000000,437.000000000000000,0.10712,0.12842,0.14363,0.09579,0.11237,0.11208,0.004260,0.003042,0.003316,-0.000058,0.196916,0.18705,0.04982,0.05047,-0.00987,0.00065,0.039768,0.023688,0.034617,-0.000516,-0.050123,0.013047,"3372","664","168","3507","656","177"
COMMUNE_0000000009727315,Saint-Étienne-au-Mont,SAINT-ETIENNE-AU-MONT,"62746",Commune simple,"5130","36","3","62","32","246200729",1079.000000000000000,66.000000000000000,117.000000000000000,947.000000000000000,75.000000000000000,120.000000000000000,884.000000000000000,75.000000000000000,118.000000000000000,0.06117,0.07920,0.08484,0.10843,0.12672,0.13348,0.003606,0.001128,0.003658,0.001352,0.095087,0.09779,0.00475,0.00631,0.00270,0.00156,0.058950,0.014242,0.033736,0.010669,0.028395,0.328421,"631","60","3","634","62","4"
COMMUNE_0000000009727418,Dannes,DANNES,"62264",Commune simple,"1346","36","3","62","32","246200729",280.000000000000000,8.000000000000000,47.000000000000000,200.000000000000000,23.000000000000000,38.000000000000000,87.000000000000000,10.000000000000000,7.000000000000000,0.02857,0.11500,0.11494,0.16786,0.19000,0.08046,0.017286,-0.000012,0.004428,-0.021908,0.020202,0.01075,0.00000,0.01075,-0.00945,0.01075,0.605040,-0.000104,0.026379,-0.115305,-0.467775,,"99","2","0","93","1","1"
COMMUNE_0000000009727313,Hesdigneul-lès-Boulogne,HESDIGNEUL-LES-BOULOGNE,"62446",Commune simple,"718","36","3","62","32","246200729",151.000000000000000,20.000000000000000,16.000000000000000,186.000000000000000,40.000000000000000,6.000000000000000,163.000000000000000,37.000000000000000,6.000000000000000,0.13245,0.21505,0.22699,0.10596,0.03226,0.03681,0.016520,0.002388,-0.014740,0.000910,0.230216,0.22628,0.00000,0.00000,-0.00394,0.00000,0.124726,0.011104,-0.139109,0.028208,-0.017114,,"139","32","0","137","31","0"
COMMUNE_0000000009726955,Zuydcoote,ZUYDCOOTE,"59668",Commune simple,"1601","17","4","59","32","245900428",721.000000000000000,5.000000000000000,52.000000000000000,774.000000000000000,7.000000000000000,70.000000000000000,857.000000000000000,8.000000000000000,90.000000000000000,0.00693,0.00904,0.00933,0.07212,0.09044,0.10502,0.000422,0.000058,0.003664,0.002916,0.000000,0.00000,0.01425,0.01435,0.00000,0.00010,0.060895,0.006416,0.050804,0.032242,,0.007018,"842","0","12","836","0","12"
COMMUNE_0000000009727231,Boulogne-sur-Mer,BOULOGNE-SUR-MER,"62160",Sous-préfecture,"40251","97","3","62","32","246200729",22833.000000000000000,2065.000000000000000,2140.000000000000000,21960.000000000000000,1675.000000000000000,2070.000000000000000,21192.000000000000000,1446.000000000000000,1928.000000000000000,0.09044,0.07628,0.06823,0.09372,0.09426,0.09098,-0.002832,-0.001610,0.000108,-0.000656,0.041526,0.03943,0.02342,0.02638,-0.00210,0.00296,-0.031314,-0.021106,0.001152,-0.006959,-0.050571,0.126388,"21601","897","506","21458","846","566"
COMMUNE_0000000009726958,Bray-Dunes,BRAY-DUNES,"59107",Commune simple,"4495","17","4","59","32","245900428",767.000000000000000,108.000000000000000,130.000000000000000,842.000000000000000,83.000000000000000,187.000000000000000,812.000000000000000,92.000000000000000,156.000000000000000,0.14081,0.09857,0.11330,0.16949,0.22209,0.19212,-0.008448,0.002946,0.010520,-0.005994,0.138583,0.13880,0.13228,0.13249,0.00022,0.00021,-0.059996,0.029887,0.062069,-0.026989,0.001587,0.001588,"635","88","84","634","88","84"
COMMUNE_0000000009726962,Dunkerque,DUNKERQUE,"59183",Sous-préfecture,"86279","96","4","59","32","245900428",46842.000000000000000,3324.000000000000000,4163.000000000000000,44610.000000000000000,2669.000000000000000,4361.000000000000000,43607.000000000000000,2867.000000000000000,4206.000000000000000,0.07096,0.05983,0.06575,0.08887,0.09776,0.09645,-0.002226,0.001184,0.001778,-0.000262,0.060933,0.05958,0.03425,0.03684,-0.00135,0.00259,-0.031370,0.019789,0.020007,-0.002680,-0.022155,0.075620,"37894","2309","1298","37898","2258","1396"
